match_id,date,venue,batting_team,bowling_team,innings,over,striker,non_striker,bowler,Runs_scored,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
1,22-Mar-24,Chennai,RCB,CSK,1,7.6,Green,Kohli,Theekshana,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,8.1,Green,Kohli,Jadeja,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,8.2,Kohli,Green,Jadeja,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,8.3,Green,Kohli,Jadeja,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,8.4,Green,Kohli,Jadeja,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,8.5,Green,Kohli,Jadeja,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,8.6,Kohli,Green,Jadeja,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,9.1,Kohli,Green,Theekshana,2,2,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,9.2,Kohli,Green,Theekshana,6,6,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,9.3,Kohli,Green,Theekshana,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,9.4,Green,Kohli,Theekshana,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,9.5,Kohli,Green,Theekshana,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,9.6,Green,Kohli,Theekshana,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,10.1,Green,Kohli,Jadeja,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,10.2,Green,Kohli,Jadeja,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,10.3,Green,Kohli,Jadeja,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,10.4,Kohli,Green,Jadeja,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,10.5,Kohli,Green,Jadeja,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,10.6,Kohli,Green,Jadeja,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,11.1,Green,Kohli,Mustafizur,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,11.2,Kohli,Green,Mustafizur,0,0,0,0,0,0,0,caught,Kohli,Ravindra
1,22-Mar-24,Chennai,RCB,CSK,1,11.3,Anuj Rawat,Green,Mustafizur,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,11.4,Green,Anuj Rawat,Mustafizur,0,0,0,0,0,0,0,bowled,Green,
